Company;Rating;Company_source
Constellation Brands, Inc.;24,7;Constellation Brands, Inc.
Container Store Inc. (The);21,9;The Container Store Group, Inc.
Corning Incorporated;18,2;Corning, Inc.
Costco Wholesale Corp.;23,6;Costco Wholesale Corp.
Costco Wholesale Corporation;23,6;Costco Wholesale Corp.
Crown Castle International Corp.;9,9;Crown Castle, Inc.
Crown Holdings, Inc.;10,4;Crown Holdings, Inc.
D. R. Horton, Inc.;21,1;D.R. Horton, Inc.
DTE Energy Center, LLC;29,8;DTE Energy Co.
DXC Technology Company;15,3;DXC Technology Co.
DaVita Inc.;22,6;DaVita, Inc.
Danaher Corporation;11,9;Danaher Corp.
Darden Restaurants, Inc.;27,5;Darden Restaurants, Inc.
Darling Ingredients Inc.;20,8;Darling Ingredients, Inc.
Delta Air Lines;30,1;Delta Air Lines, Inc.
Delta Air Lines, Inc. (Old);30,1;Delta Air Lines, Inc.
Deluxe Corporation;10,0;Deluxe Corp.
Dentsply Sirona Inc.;14,9;Dentsply Sirona, Inc.
Devon Energy Corporation;33,8;Devon Energy Corp.
Douglas Dynamics, L.L.C.;30,5;Douglas Dynamics, Inc.
Dover Corporation;25,9;Dover Corp.
Duke Energy Corp.;27,0;Duke Energy Corp.
Duke Energy Corporation;27,0;Duke Energy Corp.
EMCOR Group, Inc.;35,0;EMCOR Group, Inc.
EOG Resources Canada Inc.;34,2;EOG Resources, Inc.
EOG Resources, Inc.;34,2;EOG Resources, Inc.
Eastman Chemical Co;25,3;Eastman Chemical Co.
Eastman Kodak Company (DIP);24,8;Eastman Kodak Co.
Edgewell Personal Care Co.;25,3;Edgewell Personal Care Co.
Edison International;27,5;Edison International
Edison Mission Energy;27,5;Edison International
Eli Lilly and Company;24,3;Eli Lilly & Co.
Embraer Overseas Limited;37,0;Embraer SA
Emerson Electric Company;28,4;Emerson Electric Co.
Endo Health Solutions Inc.;41,6;Endo International Plc
Enel Americas S.A.;21,4;Enel SpA
Entergy Corporation;25,9;Entergy Corp.
Enterprise Products Operating, LLC;35,4;Enterprise Products Operating LLC
Entravision Communications Corporation;18,9;Entravision Communications Corp.
Equinix, Inc.;11,3;Equinix, Inc.
Exelon Corporation;22,9;Exelon Corp.
Expedia, Inc.;27,7;Expedia Group, Inc.
Express LLC;18,0;Express, Inc.
FMC Corporation;31,6;FMC Corp.
FMC Technologies, Inc.;31,6;FMC Corp.
FTI Consulting Inc.;17,7;FTI Consulting, Inc.
FTI Consulting, Inc.;17,7;FTI Consulting, Inc.
Ferro Corporation;;
Fidelity National Information Services Inc.;17,5;Fidelity National Information Services, Inc.
Fiesta Restaurant Group, Inc.;;
Fiserv, Inc.;19,6;Fiserv, Inc.
Flex Ltd.;6,4;Flex Ltd.
Flowers Foods, Inc.;38,9;Flowers Foods, Inc.
Flowserve Corporation;23,2;Flowserve Corp.
Fluor Corporation;32,9;Fluor Corp.
